Como,Quiero,Para
Owner/ usuario,Habrá una sección llamada Kubera donde se gestionarán los productos deseados a adquirir y tambien la gestión economica que llevará a la meta de obtenerlos ,Gestionar los deseos materiales
Owner/ usuario,"La sección Cronnos mostrara los niveles de energia que ocupa cada actividad, compromiso y/o pendiente mediante colores y animaciones",Tener conocimiento de la distrbución de energía por actividad
Owner/ usuario,"Los compromisos, actividades y/o pendientes podran moverse como fichas arrastrandolas entre sí",Hace sencilla la forma de mover espacios de tiempo
Owner/ usuario,El movimiento de los espacios de tiempo también altera la cantidad de energía,Controlar de forma realista el uso de energía por espacio usado
Owner/ usuario,La energía se ve afectada por el espacio de tiempo anterior y la siguiente también y así con todos los espacios de tiempo,Controlar de forma realista el uso de energía por espacio usado
Owner/ usuario,La sección Cronnos podra ser manipulada por cualquier agente que tenga la API Key para modificar eventos y su posición,Hacer inteligente el proceso de organización
Owner/ usuario,"La sección Cronnos en la vista de celular no permitira ver el horario como en la aplicación web, en su lugar la mostrara como en la imagen_1-png",Responsive designe
Owner/ usuario,En la sección de Odin habran super misiones semanales y mensuales que al cumplirlas otorguen xp para el nivel del usuario,"Incentivar la realización de actividades, compromisos y/o pendientes"
Owner/ usuario,"La sección Demeter se podrá gestionar bien sea desde el panel de la Aplicación web, desde la aplicación de celular o el agente IA destinado para ello mediante la API ",Automatizar el administrador de patrimonios
Owner/ usuario,La sección Soberbio estará conectada con la sección Dionisio donde se gestionará por medio de los vídeos guardados las experiencias pendientes,Automatizar el proceso de conexión entre los datos obtenidos de los vídeos y la base de lugares a visitar en Soberbio
Owner/ usuario,"Una de las reglas de Cronos es que una vez alcansado el objetivo de presupuesto establecido por Demeter para la visita de experiencias de Soberbio, se establece una fecha de visita para ir a ese lugar, el lugar será escogido de manera aleatoria desde la base de experiencias pendientes en Soberbio",Automatizar la visita de lugares en Soberbio
Owner/ usuario,"La sección Demeter gestionará el presupuesto mensual dependiendo de los ingresos y eso se distribuirán en categorías por porcentaje como inversiones, entretenimiento, gastos personales, gastos fijos y otros aspectos a preguntar",Automatizar la gestión de gastos e ingresos para el administrador de patrimonios
Owner/ usuario,"Luego de visitado un lugar, se preguntará al usuario la experiencia ya que en soberbio también se gestionaran las experiencias de los lugares visitados ",Hacer dinámico el proceso de visita
Owner/ usuario,La calificación de las experiencias de soberbio serán mediante puntos de aspectos puntuales usados por criticos para la calificación de restaurantes,Hacer dinámico el proceso de visita
Owner/ usuario,Luego de calificar una experiencia pasará a la base de experiencias realizadas y se vera refelajado en el home page de su propia sección en la aplicación Web,Llevar registro de los lugares visitados
Owner/ usuario,Cada sección en la aplicación web tendrá su propio home Page ,Hacer visualmente dinamico y distintivo el ingreso a cada sección
Owner/ usuario,La aplicación mobil se realizará mediante las imágenes proporcionadas ,Conservar la estética sugerida desde la primera instancia 
Owner/ usuario,La puntuación de las películas en la sección Apolo se realizara basada en aspectos puntuales usados por críticos para calificar películas ,Hacer dinamico el proceso de visualización de peliculas
Owner/ usuario,En el home page de la sección Apolo se mostrara el top 5 de las películas con mejor calificación,Facilitar la información de las mejores peliculas
Owner/ usuario,"La sección Cronnos gestionará los horarios de estudio de la sección Prodigy basado en lo dispuesto a estudiar, cuando hay que presentar el trabajo, los días de la semana y los horarios disponibles para ello","Llevaré el control de los trabajos, estudios, títulos obtenidos y demás "
Owner/ usuario,"La sección Cronnos gestionará cada pequeño espacio de tiempo disponible y no disponible en toda la semana y así en todo el mes, es decir un calendario de eventos inteligene disponible también hasta periodos de años si así lo requiere",Automatizar el proceso de gestión de horarios y tiempos
Owner/ usuario,Todas las secciones estarán conectadas entre si volviendolas parte del mismo ecosistema inteligente,Mantener la idea de un solo cerebro manejando todo
Owner/ usuario,Cada tareas realiza dentro del tiempo establecido por Cronnos aumentará el XP necesario para ir subiendo de nivel,Registrar los niveles de usuario
