archivo,seccion,cambios
11-demeter,Gestión vía IA,"No se usara la API de Claude ya que cuesta, se debe encontrar una forma de automatizar el proceso de ingresar a la CLI de Claude code, o donde se deba y darle la orden, aparte debe guardar memorias para aprender, y en el futuro se cambiara a Qwen en modelo local o evaluar opencode"
12-secciones-contenido,Apolo (Películas),Debe tener una ambientación con animaciones y estetica de cine antiguo
12-secciones-contenido,Registro de Película,"Los campos son Year, Movie, Director, Country, Producer, Distributed, Genre, Rating, Stars, Category"
12-secciones-contenido,Sistema de Calificación (solo si estado = Vista),"La calificación aparecera en rating y eso generara las estrellas que son de maximo 5 estrellas y dependiendo del rating sera la category, las categorias son DIAMOND, GOLD, PLATINUM, GOOD, ACEPTABLE, BAD"
12-secciones-contenido,Sistema de Calificación del usuario,"El usuario tendra niveles dentro de esta sección dependiendo de la cantidad de peliculas vistas, los niveles son estos ILUMINADO, DESPIERTO, ERUDITO, SOBERBIO, EMPODERADO, INTERESADO, NOVATO donde ILUMINADO son 1000 peliculas"
12-secciones-contenido,Odysseia (Viajes y Turismo),No se hara reseña
12-secciones-contenido,Proeza (Música y Producción),"No tendra los campos de Género, BPM, Tonalidad, Fecha objetivo mezcla, Fecha objetivo lanzamiento, Colaboradores, Notas, incluira el campo de Beatmaker"
12-secciones-contenido,Exploración Musical,"En vez de el usuario añadir, el sistema dara un pais y una ciudad al azar y manualmente el usuario hara la exploración"
12-secciones-contenido,Kubera (Deseos Materiales),No tendra el campo de Prioridad
13-soberbio-dionisio,Registro de Experiencia,No tendra el campo de Fotos ni Referencia Dionisio
13-soberbio-dionisio,Registro de Video,
13-soberbio-dionisio,"Flujo de ""Accionar"" un Video","Cuando se guarde el video en la secciónde guardado en TikTok automaticamente se conectara al modulo de descarga a implementar, una vez descargado pasara por el modulo de conversión, se convertira en audio y se transformara en texto y basado en el texto de enviara a su respectiva sección. Si no tiene texto se descarta la publicación. Una vez procesado correctamente un video este se eliminara de guardados de TikTok. Sí esto no es posible se aceptaran sugerencias alternativas. EN EL FUTURO SE INTEGRARA FACEBOOK E INSTAGRAM o si se puede de una vez entonces hacerlo"
14-notifications-ai,Integración con IA (Claude),"No se usara la API de Claude ya que cuesta, se debe encontrar una forma de automatizar el proceso de ingresar a la CLI de Claude code, o donde se deba y darle la orden, aparte debe guardar memorias para aprender, y en el futuro se cambiara a Qwen en modelo local o evaluar opencode"
